Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0085,0.0004,0.0002,0,0,0,7.4172,0.0366,0.0002,0.0006,0.1024,0,0.1246,0,0,0,0,0,0,package://dog/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dog/meshes/base_link.STL,,躯干(临时)..曼波整狗-1,trunk(base),,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip_joint,-0.0055,0.0069,0.0001,0,0,0,0.9753,0.0002,0,0,0.0005,0,0.0004,0,0,0,0,0,0,package://dog/meshes/FL_hip_joint.STL,1,1,1,1,0,0,0,0,0,0,package://dog/meshes/FL_hip_joint.STL,,_左前腿-1/左髋-1/RS03-1;_左前腿-1/左髋-1/髋关节C件-1;_左前腿-1/左髋-1/内六角圆柱头螺钉-1;_左前腿-1/左髋-1/内六角沉头螺钉-1;_左前腿-1/左髋-1/M4×14定位销-1;_左前腿-1/左髋-1/内六角圆柱头螺钉-9;_左前腿-1/左髋-1/内六角圆柱头螺钉-10;_左前腿-1/左髋-1/内六角圆柱头螺钉-11;_左前腿-1/左髋-1/内六角圆柱头螺钉-12;_左前腿-1/左髋-1/内六角圆柱头螺钉-13;_左前腿-1/左髋-1/内六角沉头螺钉-2;_左前腿-1/左髋-1/内六角沉头螺钉-3;_左前腿-1/左髋-1/内六角沉头螺钉-4;_左前腿-1/左髋-1/M4×14定位销-2;_左前腿-1/左髋-1/M4×14定位销-3,FL_hip_joint,FL_hip_joint_axis,FL_hip_joint,revolute,0.2295,0.055,0.01,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FL_thigh_joint,-0.0015,-0.0344,-0.0341,0,0,0,1.6811,0.0122,0.0001,-0.0002,0.0113,0.002,0.0022,0,0,0,0,0,0,package://dog/meshes/FL_thigh_joint.STL,0.14902,0.14902,0.14902,1,0,0,0,0,0,0,package://dog/meshes/FL_thigh_joint.STL,,_左前腿-1/左大腿-1/RS03电机输出垫片-1;_左前腿-1/左大腿-1/RS03-1;_左前腿-1/左大腿-1/大腿C件-1;_左前腿-1/左大腿-1/内六角沉头螺钉-1;_左前腿-1/左大腿-1/内六角沉头螺钉-5;_左前腿-1/左大腿-1/大腿-1;_左前腿-1/左大腿-1/RS03电机输出垫片-2;_左前腿-1/左大腿-1/连杆（CNC）-2;_左前腿-1/左大腿-1/F6-14M-2;_左前腿-1/左大腿-1/内六角圆柱头螺钉-1;_左前腿-1/左大腿-1/六角防松锁紧螺母-1;_左前腿-1/左大腿-1/F6-14M-3;_左前腿-1/左大腿-1/4×8×10轴套-1;_左前腿-1/左大腿-1/内六角圆柱头螺钉-2;_左前腿-1/左大腿-1/4×6×5轴套-2;_左前腿-1/左大腿-1/六角防松锁紧螺母-2;_左前腿-1/左大腿-1/内六角圆柱头螺钉-3;_左前腿-1/左大腿-1/小腿轴-1;_左前腿-1/左大腿-1/MF126ZZ-3;_左前腿-1/左大腿-1/小腿端连杆节点_轴承垫片-1;_左前腿-1/左大腿-1/F4-9M-1;_左前腿-1/左大腿-1/小腿端连杆节点_轴承垫圈-1;_左前腿-1/左大腿-1/4×M3×12塞打螺栓-1;_左前腿-1/左大腿-1/六角防松锁紧螺母-3;_左前腿-1/左大腿-1/小腿端连杆节点_轴承垫片-2;_左前腿-1/左大腿-1/MF126ZZ-4;_左前腿-1/左大腿-1/F4-9M-2;_左前腿-1/左大腿-1/4×M3×12塞打螺栓-2;_左前腿-1/左大腿-1/小腿端连杆节点_轴承垫圈-2;_左前腿-1/左大腿-1/六角防松锁紧螺母-4;_左前腿-1/左大腿-1/大腿(外侧)-1;_左前腿-1/左大腿-1/内六角平圆头螺钉-1;_左前腿-1/左大腿-1/内六角平圆头螺钉-2;_左前腿-1/左大腿-1/F698ZZ法兰轴承-4;_左前腿-1/左大腿-1/小腿轴固定板-1;_左前腿-1/左大腿-1/F698ZZ法兰轴承-5;_左前腿-1/左大腿-1/F698ZZ法兰轴承-6;_左前腿-1/左大腿-1/小腿轴_轴承垫片-1;_左前腿-1/左大腿-1/小腿轴_轴承垫圈-1;_左前腿-1/左大腿-1/F8-22M-1;_左前腿-1/左大腿-1/小腿轴_轴套-1;_左前腿-1/左大腿-1/大腿板间件-1;_左前腿-1/左大腿-1/内六角圆柱头螺钉-9;_左前腿-1/左大腿-1/内六角圆柱头螺钉-14;_左前腿-1/左大腿-1/内六角圆柱头螺钉-19;_左前腿-1/左大腿-1/M4×18定位销-1;_左前腿-1/左大腿-1/M4×10定位销-1;_左前腿-1/左大腿-1/F698ZZ法兰轴承-8;_左前腿-1/左大腿-1/小腿轴固定板-2;_左前腿-1/左大腿-1/小腿轴_轴套_8×12×3-1;_左前腿-1/左大腿-1/大腿板间件_上盖-1;_左前腿-1/左大腿-1/内六角圆柱头螺钉-27;_左前腿-1/左大腿-1/内六角圆柱头螺钉-30;_左前腿-1/左大腿-1/小腿轴_轴承垫片-2;_左前腿-1/左大腿-1/小腿轴_轴承垫圈-2;_左前腿-1/左大腿-1/F8-22M-2;_左前腿-1/左大腿-1/内六角沉头螺钉-2;_左前腿-1/左大腿-1/内六角沉头螺钉-3;_左前腿-1/左大腿-1/内六角沉头螺钉-4;_左前腿-1/左大腿-1/内六角沉头螺钉-6;_左前腿-1/左大腿-1/内六角沉头螺钉-7;_左前腿-1/左大腿-1/内六角沉头螺钉-8;_左前腿-1/左大腿-1/内六角沉头螺钉-9;_左前腿-1/左大腿-1/内六角沉头螺钉-10;_左前腿-1/左大腿-1/内六角圆柱头螺钉-4;_左前腿-1/左大腿-1/内六角圆柱头螺钉-5;_左前腿-1/左大腿-1/内六角圆柱头螺钉-6;_左前腿-1/左大腿-1/内六角圆柱头螺钉-7;_左前腿-1/左大腿-1/内六角圆柱头螺钉-8;_左前腿-1/左大腿-1/内六角圆柱头螺钉-10;_左前腿-1/左大腿-1/内六角圆柱头螺钉-11;_左前腿-1/左大腿-1/内六角圆柱头螺钉-12;_左前腿-1/左大腿-1/内六角圆柱头螺钉-13;_左前腿-1/左大腿-1/内六角圆柱头螺钉-15;_左前腿-1/左大腿-1/内六角圆柱头螺钉-16;_左前腿-1/左大腿-1/内六角圆柱头螺钉-17;_左前腿-1/左大腿-1/内六角圆柱头螺钉-18;_左前腿-1/左大腿-1/内六角圆柱头螺钉-20;_左前腿-1/左大腿-1/内六角圆柱头螺钉-21;_左前腿-1/左大腿-1/内六角圆柱头螺钉-22;_左前腿-1/左大腿-1/内六角圆柱头螺钉-23;_左前腿-1/左大腿-1/内六角圆柱头螺钉-24;_左前腿-1/左大腿-1/内六角圆柱头螺钉-25;_左前腿-1/左大腿-1/内六角圆柱头螺钉-26;_左前腿-1/左大腿-1/M4×18定位销-2;_左前腿-1/左大腿-1/M4×18定位销-3;_左前腿-1/左大腿-1/M4×10定位销-2;_左前腿-1/左大腿-1/M4×10定位销-3;_左前腿-1/左大腿-1/M3×45双通六角铜柱-2;_左前腿-1/左大腿-1/M3×45双通六角铜柱-3;_左前腿-1/左大腿-1/M3×45双通六角铜柱-4;_左前腿-1/左大腿-1/M3×45双通六角铜柱-5;_左前腿-1/左大腿-1/M3×45双通六角铜柱-6;_左前腿-1/左大腿-1/M3×45双通六角铜柱-7;_左前腿-1/左大腿-1/M3×45双通六角铜柱-8;_左前腿-1/左大腿-1/连杆（CNC）2-1;_左前腿-1/左大腿-1/小腿驱动杆(CNC)-1,FL_thigh_joint,FL_thigh_joint_axis,FL_thigh_joint,revolute,0,0.1231,0,0,0,0,FL_hip_joint,0,1,0,0,0,0,0,,,,,,,,
FL_calf_joint,0.0147,-0.0003,-0.161,0,0,0,0.1331,0.001,0,0.0001,0.001,0,0,0,0,0,0,0,0,package://dog/meshes/FL_calf_joint.STL,0.22353,0.22353,0.22353,1,0,0,0,0,0,0,package://dog/meshes/FL_calf_joint.STL,,_左前腿-1/左大腿-1/左小腿-1/小腿板间件1-1;_左前腿-1/左大腿-1/左小腿-1/小腿1-1;_左前腿-1/左大腿-1/左小腿-1/小腿2-1;_左前腿-1/左大腿-1/左小腿-1/小腿板间件2-1;_左前腿-1/左大腿-1/左小腿-1/3D打印五面支撑体-1;_左前腿-1/左大腿-1/左小腿-1/内六角圆柱头螺钉-2;_左前腿-1/左大腿-1/左小腿-1/六角防松锁紧螺母-2;_左前腿-1/左大腿-1/左小腿-1/内六角圆柱头螺钉-10;_左前腿-1/左大腿-1/左小腿-1/六角防松锁紧螺母-12;_左前腿-1/左大腿-1/左小腿-1/内六角圆柱头螺钉-11;_左前腿-1/左大腿-1/左小腿-1/六角防松锁紧螺母-14;_左前腿-1/左大腿-1/左小腿-1/内六角圆柱头螺钉-12;_左前腿-1/左大腿-1/左小腿-1/六角防松锁紧螺母-15;_左前腿-1/左大腿-1/左小腿-1/内六角圆柱头螺钉-14;_左前腿-1/左大腿-1/左小腿-1/六角防松锁紧螺母-17;_左前腿-1/左大腿-1/左小腿-1/硅胶包胶-1,FL_calf_joint,FL_calf_joint_axis,FL_calf_joint,revolute,0,0.001,-0.25,0,0,0,FL_thigh_joint,0,1,0,0,0,0,0,,,,,,,,
FL_feet_joint,-0.0012,0,-0.0002,0,0,0,0.0311,0,0,0,0,0,0,0,0,0,0,0,0,package://dog/meshes/FL_feet_joint.STL,0.22353,0.22353,0.22353,1,0,0,0,0,0,0,package://dog/meshes/FL_feet_joint.STL,,_左前腿-1/左大腿-1/左小腿-1/3D打印五面支撑体-1;_左前腿-1/左大腿-1/左小腿-1/硅胶包胶-1,FL_feet_joint,FL_feet_joint_axis,FL_feet_joint,fixed,0.0125580634092529,0,-0.261416391848117,0,0,0,FL_calf_joint,0,0,0,,,,,,,,,,,,
FR_hip_joint,-0.0055,-0.0069,-0.0001,0,0,0,0.9753,0.0002,0,0,0.0005,0,0.0004,0,0,0,0,0,0,package://dog/meshes/FR_hip_joint.STL,1,1,1,1,0,0,0,0,0,0,package://dog/meshes/FR_hip_joint.STL,,_右前腿-1/右髋-1/RS03-1;_右前腿-1/右髋-1/髋关节C件-1;_右前腿-1/右髋-1/RS03电机输出垫片-1;_右前腿-1/右髋-1/内六角圆柱头螺钉-1;_右前腿-1/右髋-1/M4×14定位销-1;_右前腿-1/右髋-1/内六角沉头螺钉-1;_右前腿-1/右髋-1/内六角圆柱头螺钉-9;_右前腿-1/右髋-1/内六角圆柱头螺钉-10;_右前腿-1/右髋-1/内六角圆柱头螺钉-11;_右前腿-1/右髋-1/内六角圆柱头螺钉-12;_右前腿-1/右髋-1/内六角圆柱头螺钉-13;_右前腿-1/右髋-1/M4×14定位销-2;_右前腿-1/右髋-1/M4×14定位销-3;_右前腿-1/右髋-1/内六角沉头螺钉-2;_右前腿-1/右髋-1/内六角沉头螺钉-3;_右前腿-1/右髋-1/内六角沉头螺钉-4,FR_hip_joint,FR_hip_joint_axis,FR_hip_joint,revolute,0.2295,-0.055,0.01,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FR_thigh_joint,-0.0015,0.0344,-0.0341,0,0,0,1.6811,0.0122,-0.0001,-0.0002,0.0113,-0.002,0.0022,0,0,0,0,0,0,package://dog/meshes/FR_thigh_joint.STL,0.14902,0.14902,0.14902,1,0,0,0,0,0,0,package://dog/meshes/FR_thigh_joint.STL,,_右前腿-1/右大腿-1/RS03电机输出垫片-1;_右前腿-1/右大腿-1/大腿C件-1;_右前腿-1/右大腿-1/M4×10定位销-1;_右前腿-1/右大腿-1/内六角沉头螺钉-1;_右前腿-1/右大腿-1/RS03-1;_右前腿-1/右大腿-1/RS03电机输出垫片-2;_右前腿-1/右大腿-1/M4×18定位销-1;_右前腿-1/右大腿-1/内六角沉头螺钉-7;_右前腿-1/右大腿-1/内六角圆柱头螺钉-1;_右前腿-1/右大腿-1/大腿-1;_右前腿-1/右大腿-1/F6-14M-1;_右前腿-1/右大腿-1/内六角圆柱头螺钉-7;_右前腿-1/右大腿-1/六角防松锁紧螺母-1;_右前腿-1/右大腿-1/六角防松锁紧螺母-2;_右前腿-1/右大腿-1/4×8×10轴套-1;_右前腿-1/右大腿-1/4×6×5轴套-1;_右前腿-1/右大腿-1/F6-14M-2;_右前腿-1/右大腿-1/内六角圆柱头螺钉-8;_右前腿-1/右大腿-1/大腿板间件-1;_右前腿-1/右大腿-1/内六角圆柱头螺钉-9;_右前腿-1/右大腿-1/内六角圆柱头螺钉-17;_右前腿-1/右大腿-1/大腿(外侧)-1;_右前腿-1/右大腿-1/内六角圆柱头螺钉-22;_右前腿-1/右大腿-1/内六角圆柱头螺钉-27;_右前腿-1/右大腿-1/内六角圆柱头螺钉-28;_右前腿-1/右大腿-1/F698ZZ法兰轴承-1;_右前腿-1/右大腿-1/F698ZZ法兰轴承-2;_右前腿-1/右大腿-1/小腿轴-1;_右前腿-1/右大腿-1/小腿轴固定板-1;_右前腿-1/右大腿-1/内六角平圆头螺钉-1;_右前腿-1/右大腿-1/小腿轴固定板-2;_右前腿-1/右大腿-1/内六角平圆头螺钉-2;_右前腿-1/右大腿-1/小腿轴_轴套_8×12×3-1;_右前腿-1/右大腿-1/F8-22M-1;_右前腿-1/右大腿-1/小腿轴_轴承垫片-1;_右前腿-1/右大腿-1/F698ZZ法兰轴承-3;_右前腿-1/右大腿-1/F698ZZ法兰轴承-4;_右前腿-1/右大腿-1/小腿轴_轴套-1;_右前腿-1/右大腿-1/4×M3×12塞打螺栓-1;_右前腿-1/右大腿-1/小腿端连杆节点_轴承垫片-1;_右前腿-1/右大腿-1/MF126ZZ-3;_右前腿-1/右大腿-1/F4-9M-1;_右前腿-1/右大腿-1/六角防松锁紧螺母-19;_右前腿-1/右大腿-1/4×M3×12塞打螺栓-2;_右前腿-1/右大腿-1/MF126ZZ-4;_右前腿-1/右大腿-1/小腿端连杆节点_轴承垫片-2;_右前腿-1/右大腿-1/F4-9M-2;_右前腿-1/右大腿-1/六角防松锁紧螺母-20;_右前腿-1/右大腿-1/小腿端连杆节点_轴承垫圈-1;_右前腿-1/右大腿-1/小腿端连杆节点_轴承垫圈-2;_右前腿-1/右大腿-1/F8-22M-2;_右前腿-1/右大腿-1/小腿轴_轴承垫片-2;_右前腿-1/右大腿-1/小腿轴_轴承垫圈-1;_右前腿-1/右大腿-1/小腿轴_轴承垫圈-2;_右前腿-1/右大腿-1/连杆（CNC）-3;_右前腿-1/右大腿-1/M4×10定位销-2;_右前腿-1/右大腿-1/M4×10定位销-3;_右前腿-1/右大腿-1/内六角沉头螺钉-2;_右前腿-1/右大腿-1/内六角沉头螺钉-3;_右前腿-1/右大腿-1/内六角沉头螺钉-4;_右前腿-1/右大腿-1/内六角沉头螺钉-5;_右前腿-1/右大腿-1/内六角沉头螺钉-6;_右前腿-1/右大腿-1/M4×18定位销-2;_右前腿-1/右大腿-1/M4×18定位销-3;_右前腿-1/右大腿-1/内六角沉头螺钉-8;_右前腿-1/右大腿-1/内六角沉头螺钉-9;_右前腿-1/右大腿-1/内六角沉头螺钉-10;_右前腿-1/右大腿-1/内六角圆柱头螺钉-2;_右前腿-1/右大腿-1/内六角圆柱头螺钉-3;_右前腿-1/右大腿-1/内六角圆柱头螺钉-4;_右前腿-1/右大腿-1/内六角圆柱头螺钉-5;_右前腿-1/右大腿-1/内六角圆柱头螺钉-6;_右前腿-1/右大腿-1/内六角圆柱头螺钉-10;_右前腿-1/右大腿-1/内六角圆柱头螺钉-11;_右前腿-1/右大腿-1/内六角圆柱头螺钉-12;_右前腿-1/右大腿-1/内六角圆柱头螺钉-13;_右前腿-1/右大腿-1/内六角圆柱头螺钉-14;_右前腿-1/右大腿-1/内六角圆柱头螺钉-15;_右前腿-1/右大腿-1/内六角圆柱头螺钉-16;_右前腿-1/右大腿-1/内六角圆柱头螺钉-18;_右前腿-1/右大腿-1/内六角圆柱头螺钉-19;_右前腿-1/右大腿-1/内六角圆柱头螺钉-20;_右前腿-1/右大腿-1/内六角圆柱头螺钉-21;_右前腿-1/右大腿-1/内六角圆柱头螺钉-23;_右前腿-1/右大腿-1/内六角圆柱头螺钉-24;_右前腿-1/右大腿-1/内六角圆柱头螺钉-25;_右前腿-1/右大腿-1/内六角圆柱头螺钉-26;_右前腿-1/右大腿-1/M3×45双通六角铜柱-5;_右前腿-1/右大腿-1/M3×45双通六角铜柱-6;_右前腿-1/右大腿-1/M3×45双通六角铜柱-7;_右前腿-1/右大腿-1/M3×45双通六角铜柱-8;_右前腿-1/右大腿-1/M3×45双通六角铜柱-9;_右前腿-1/右大腿-1/大腿板间件_上盖_右-1;_右前腿-1/右大腿-1/M3×45双通六角铜柱-10;_右前腿-1/右大腿-1/M3×45双通六角铜柱-11;_右前腿-1/右大腿-1/连杆（CNC）2-1;_右前腿-1/右大腿-1/小腿驱动杆(CNC)-1,FR_thigh_joint,FR_calf_joint_axis,FR_thigh_joint,revolute,0,-0.1231,0,0,0,0,FR_hip_joint,0,1,0,0,0,0,0,,,,,,,,
FR_calf_joint,0.0147,0.0003,-0.161,0,0,0,0.1331,0.001,0,0.0001,0.001,0,0,0,0,0,0,0,0,package://dog/meshes/FR_calf_joint.STL,0.22353,0.22353,0.22353,1,0,0,0,0,0,0,package://dog/meshes/FR_calf_joint.STL,,_右前腿-1/右大腿-1/右小腿-1/小腿板间件1-1;_右前腿-1/右大腿-1/右小腿-1/小腿板间件2-1;_右前腿-1/右大腿-1/右小腿-1/3D打印五面支撑体-1;_右前腿-1/右大腿-1/右小腿-1/内六角圆柱头螺钉-1;_右前腿-1/右大腿-1/右小腿-1/六角防松锁紧螺母-1;_右前腿-1/右大腿-1/右小腿-1/内六角圆柱头螺钉-2;_右前腿-1/右大腿-1/右小腿-1/六角防松锁紧螺母-2;_右前腿-1/右大腿-1/右小腿-1/内六角圆柱头螺钉-3;_右前腿-1/右大腿-1/右小腿-1/六角防松锁紧螺母-3;_右前腿-1/右大腿-1/右小腿-1/内六角圆柱头螺钉-4;_右前腿-1/右大腿-1/右小腿-1/六角防松锁紧螺母-4;_右前腿-1/右大腿-1/右小腿-1/六角防松锁紧螺母-5;_右前腿-1/右大腿-1/右小腿-1/内六角圆柱头螺钉-5;_右前腿-1/右大腿-1/右小腿-1/硅胶包胶-1;_右前腿-1/右大腿-1/右小腿-1/右小腿_小腿1-2;_右前腿-1/右大腿-1/右小腿-1/右小腿_小腿2-1,FR_calf_joint,FR_calf_joint_axis,FR_calf_joint,revolute,0,-0.001,-0.25,0,0,0,FR_thigh_joint,0,1,0,0,0,0,0,,,,,,,,
FR_feet_joint,-0.0012,0,-0.0002,0,0,0,0.0311,0,0,0,0,0,0,0,0,0,0,0,0,package://dog/meshes/FR_feet_joint.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://dog/meshes/FR_feet_joint.STL,,_右前腿-1/右大腿-1/右小腿-1/硅胶包胶-1;_右前腿-1/右大腿-1/右小腿-1/3D打印五面支撑体-1,FR_feet_joint,FR_feet_joint_axis,FR_feet_joint,fixed,0.0125580634092921,0,-0.261416391848119,0,0,0,FR_calf_joint,0,0,0,,,,,,,,,,,,
RL_hip_joint,0.0055,0.0069,-0.0001,0,0,0,0.9753,0.0002,0,0,0.0005,0,0.0004,0,0,0,0,0,0,package://dog/meshes/RL_hip_joint.STL,1,1,1,1,0,0,0,0,0,0,package://dog/meshes/RL_hip_joint.STL,,_左后腿-1/左髋-1/RS03-1;_左后腿-1/左髋-1/髋关节C件-1;_左后腿-1/左髋-1/内六角圆柱头螺钉-1;_左后腿-1/左髋-1/内六角沉头螺钉-1;_左后腿-1/左髋-1/RS03电机输出垫片-2;_左后腿-1/左髋-1/M4×14定位销-1;_左后腿-1/左髋-1/内六角圆柱头螺钉-9;_左后腿-1/左髋-1/内六角圆柱头螺钉-10;_左后腿-1/左髋-1/内六角圆柱头螺钉-11;_左后腿-1/左髋-1/内六角圆柱头螺钉-12;_左后腿-1/左髋-1/内六角圆柱头螺钉-13;_左后腿-1/左髋-1/内六角沉头螺钉-2;_左后腿-1/左髋-1/内六角沉头螺钉-3;_左后腿-1/左髋-1/内六角沉头螺钉-4;_左后腿-1/左髋-1/M4×14定位销-2;_左后腿-1/左髋-1/M4×14定位销-3,RL_hip_joint,RL_hip_joint_axis,RL_hip_joint,revolute,-0.2295,0.055,0.01,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
